DATE,DailyAverageDryBulbTemperature,MonthlyMeanTemperature,DailyMaximumDryBulbTemperature,MonthlyMaximumTemperature,DailyMinimumDryBulbTemperature,MonthlyMinimumTemperature
01,54.0,,71.0,,37.0,
01,31.0,,37.0,,24.0,
01,33.0,,44.0,,21.0,
01,37.0,,50.0,,23.0,
01,47.0,,62.0,,31.0,
01,36.0,,46.0,,26.0,
01,31.0,,39.0,,22.0,
01,46.0,,60.0,,32.0,
01,51.0,,63.0,,39.0,
01,41.0,,54.0,,27.0,
01,42.0,,58.0,,26.0,
01,45.0,,62.0,,28.0,
01,53.0,,71.0,,34.0,
01,47.0,,60.0,,34.0,
01,41.0,,51.0,,30.0,
01,41.0,,48.0,,33.0,
01,43.0,,56.0,,29.0,
01,45.0,,62.0,,28.0,
01,46.0,,57.0,,34.0,
01,30.0,,35.0,,24.0,
01,27.0,,36.0,,17.0,
01,31.0,,47.0,,15.0,
01,43.0,,63.0,,23.0,
01,46.0,,64.0,,27.0,
01,42.0,,50.0,,33.0,
01,34.0,,43.0,,25.0,
01,41.0,,50.0,,31.0,
01,40.0,,51.0,,28.0,
01,37.0,,54.0,,20.0,
01,50.0,,69.0,,31.0,
01,48.0,,68.0,,28.0,
01,,41.0,,54.2,,27.7
02,57.0,,66.0,,47.0,
02,46.0,,60.0,,32.0,
02,29.0,,33.0,,25.0,
02,31.0,,37.0,,24.0,
02,32.0,,44.0,,20.0,
02,37.0,,51.0,,22.0,
02,40.0,,54.0,,26.0,
02,45.0,,64.0,,25.0,
02,50.0,,69.0,,31.0,
02,51.0,,68.0,,33.0,
02,52.0,,71.0,,32.0,
02,42.0,,55.0,,29.0,
02,41.0,,59.0,,22.0,
02,48.0,,70.0,,25.0,
02,51.0,,68.0,,34.0,
02,63.0,,69.0,,56.0,
02,51.0,,68.0,,33.0,
02,38.0,,49.0,,27.0,
02,45.0,,63.0,,27.0,
02,49.0,,66.0,,32.0,
02,61.0,,70.0,,52.0,
02,51.0,,68.0,,33.0,
02,31.0,,33.0,,29.0,
02,33.0,,34.0,,31.0,
02,32.0,,36.0,,27.0,
02,33.0,,36.0,,29.0,
02,43.0,,53.0,,32.0,
02,46.0,,65.0,,27.0,
02,,43.6,,56.4,,30.8
03,53.0,,74.0,,32.0,
03,56.0,,78.0,,33.0,
03,57.0,,79.0,,35.0,
03,57.0,,76.0,,38.0,
03,66.0,,73.0,,59.0,
03,73.0,,79.0,,66.0,
03,56.0,,74.0,,37.0,
03,39.0,,45.0,,32.0,
03,46.0,,58.0,,33.0,
03,47.0,,64.0,,29.0,
03,40.0,,49.0,,30.0,
03,35.0,,47.0,,22.0,
03,47.0,,63.0,,30.0,
03,54.0,,63.0,,44.0,
